Time,yaw,pitch,roll,magx,magy,magz,accelx,accely,accelz,gyrox,gyroy,gyroz
16.80999994277954,36.173,-2.191,11.441,0.088,0.287,0.3787,-1.879,-1.926,-9.474,0.086921,0.69311,0.3807
16.938999891281128,38.047,1.352,9.828,0.0598,0.2758,0.3936,0.604,-0.83,-10.159,-0.185974,0.307964,0.189515
17.05399990081787,35.86,1.914,8.6,0.0551,0.2769,0.3945,0.234,-0.543,-9.925,-0.306866,-0.018053,-0.877112
17.16599988937378,23.008,3.34,3.841,0.0311,0.2486,0.4019,0.677,-0.537,-9.79,-0.73889,-0.056725,-2.436787
17.268999814987183,9.589,3.304,-1.131,0.0142,0.2174,0.4113,2.279,-0.406,-9.362,-0.808056,-0.198025,-2.112224
17.378999948501587,-0.233,0.748,-4.988,0.0251,0.1951,0.4181,0.513,0.585,-9.083,-0.374135,-0.334416,-1.101382
17.490000009536743,-7.491,-1.225,-5.48,0.0242,0.1929,0.4222,-0.457,2.544,-9.69,0.189364,-0.33309,-1.464864
17.592000007629395,-16.112,-5.132,-2.872,0.0472,0.2149,0.4137,0.404,-1.069,-9.374,0.440511,-0.666073,-1.073209
17.674000024795532,-16.906,-7.665,-1.884,0.068,0.2231,0.41,-1.592,-0.759,-9.509,-0.00233,-0.358868,0.433012
17.764999866485596,-15.284,-7.35,-2.997,0.0669,0.2147,0.4101,-1.755,1.124,-9.925,-0.135854,0.280834,0.096735
17.924999952316284,-14.561,-3.767,-1.722,0.0388,0.2151,0.4214,-0.362,-0.332,-8.97,0.069816,0.266279,-0.036332
18.038999795913696,-15.467,-2.998,-0.62,0.0363,0.2342,0.4209,-1.155,0.513,-9.268,0.003973,0.111597,-0.005334
18.13599991798401,-15.471,-2.898,-0.594,0.0286,0.2247,0.4172,0.11,0.008,-9.762,0.004985,-0.019757,-0.000884
18.234999895095825,-15.472,-2.903,-0.608,0.0313,0.2225,0.4162,-0.78,0.063,-9.776,-0.008741,0.001931,0.001694
18.34500002861023,-15.473,-2.897,-0.612,0.0323,0.2246,0.4139,-0.66,0.315,-9.824,0.00242,-0.000267,-0.000829
18.45199990272522,-15.472,-2.898,-0.609,0.0333,0.2257,0.4186,-0.444,0.043,-9.74,0.00098,0.001623,-0.000829
18.575999975204468,-15.472,-2.897,-0.612,0.0333,0.2257,0.4151,-0.488,0.068,-9.731,-0.001688,0.000267,0.001468
18.68499994277954,-15.473,-2.898,-0.615,0.0305,0.2257,0.4184,-0.508,0.108,-9.746,-0.0022,-0.000476,0.000165
18.793999910354614,-15.473,-2.897,-0.614,0.0304,0.2246,0.4103,-0.486,0.127,-9.738,0.001668,0.001696,0.001083
18.870999813079834,-15.474,-2.898,-0.614,0.0314,0.2257,0.415,-0.484,0.09,-9.715,-0.000969,0.000945,-0.00153
18.97000002861023,-15.474,-2.898,-0.614,0.0315,0.2289,0.4161,-0.483,0.114,-9.771,0.000344,-0.000697,-0.000959
19.12999987602234,-15.477,-2.9,-0.616,0.0304,0.2246,0.4126,-0.565,0.103,-9.751,-0.002138,0.00195,-0.000586
19.253000020980835,-15.478,-2.901,-0.618,0.0314,0.2215,0.4197,-0.538,0.115,-9.748,0.001052,-0.000255,0.000149
19.35099983215332,-15.48,-2.901,-0.62,0.0285,0.2204,0.4173,-0.543,0.079,-9.724,0.000781,0.001088,-0.001232
19.455999851226807,-15.478,-2.903,-0.621,0.0314,0.2268,0.4161,-0.56,0.096,-9.741,-0.001521,0.000346,-0.000115
19.567999839782715,-15.476,-2.905,-0.622,0.0296,0.2268,0.4172,-0.454,0.085,-9.697,0.000872,0.000952,-0.00161
19.66699981689453,-15.475,-2.908,-0.623,0.0314,0.2268,0.4138,-0.473,0.073,-9.701,0.000358,-0.00012,0.000535
19.768999814987183,-15.474,-2.911,-0.625,0.0294,0.2204,0.4138,-0.486,0.094,-9.75,-0.001638,0.000398,-6.2e-05
19.88099980354309,-15.474,-2.919,-0.63,0.0305,0.2257,0.4173,-0.481,0.169,-9.729,-0.00128,0.000708,-0.000496
19.98799991607666,-15.473,-2.927,-0.633,0.0277,0.2279,0.4159,-0.494,0.042,-9.772,2.1e-05,0.002047,-0.001262
20.09999990463257,-15.472,-2.933,-0.636,0.0295,0.2236,0.4184,-0.557,0.143,-9.789,-0.000848,-0.000469,0.000447
20.253999948501587,-15.474,-2.943,-0.64,0.0295,0.2236,0.4161,-0.534,0.11,-9.763,-0.0009,6e-05,-7.3e-05
20.38699984550476,-15.475,-2.957,-0.641,0.0323,0.2225,0.4163,-0.511,0.069,-9.766,-0.001205,-0.000587,-0.000648
20.5,-15.476,-2.964,-0.643,0.0286,0.2258,0.4183,-0.491,0.089,-9.839,-0.000703,0.000338,0.000416
20.60599994659424,-15.475,-2.97,-0.645,0.0314,0.2215,0.4197,-0.46,0.049,-9.707,0.001929,-0.0002,0.000217
20.717999935150146,-15.477,-2.977,-0.642,0.0315,0.2321,0.4126,-0.461,0.113,-9.791,-0.000695,-0.000145,0.00068
20.883999824523926,-15.477,-2.977,-0.637,0.0324,0.2257,0.4197,-0.511,0.153,-9.785,0.000339,-0.000565,0.000492
21.024999856948853,-15.476,-2.975,-0.633,0.0314,0.2247,0.4173,-0.564,0.124,-9.761,0.000135,0.002028,-0.000237
21.13599991798401,-15.476,-2.976,-0.636,0.0305,0.2247,0.4173,-0.537,0.131,-9.741,0.000827,-0.000386,-0.001166
21.245999813079834,-15.479,-2.976,-0.636,0.0286,0.2268,0.4183,-0.404,0.004,-9.655,0.003358,0.000122,-0.001082
